,nome_produto,categoria
0,ABS NOT ALWAYS ACTIVE C/12,ABSORVENTE
1,ABS C/ABAS SILHOUETTE CLASSIC C/8,ABSORVENTE
2,ABS C/ABAS SILHOUETTE C/8,ABSORVENTE
3,ABS C/ABAS ALWAYS BASICO SUAVE C/16,ABSORVENTE
4,ABS C/ABAS SYM SECA 32/PG28,ABSORVENTE
5,ABSORVENTE INTERNO INTIMUS LV 24 PG 22 MEDIO,ABSORVENTE
6,PROT DIARIO INTIMUS DAYS C/40,ABSORVENTE
7,ABS NOT C/ABAS ALWAYS ACTIVE LV8 PG7,ABSORVENTE
8,ABS S/ABAS CONFIANCE SUAVE C/8,ABSORVENTE
9,ABS INT INTIMUS GEL C/APLICAD SUP C/8,ABSORVENTE
10,PROT DIARIO INTIMUS DAYS S/A FLEXIVEL LV80PG60,ABSORVENTE
11,ABS C/ABAS SYM SUAVE LV8 PG7,ABSORVENTE
12,ABS C/ABAS SYM CURVAS SUAVE C/8,ABSORVENTE
13,ABS NOT C/ABAS ALWAYS ACTIVE LV16PG14,ABSORVENTE
14,ABS ATIVA TEENS S/ABAS C/08,ABSORVENTE
15,ABS NOT C/ABAS ALWAYS BAS SECA 17X8-CX GTS C/8,ABSORVENTE
16,ABS S/ABAS ALWAYS BAS SECA 8/PG7,ABSORVENTE
17,ABS PERSONAL C/ABAS ESCAPE C/08,ABSORVENTE
18,ABS C/ABAS ALWAYS BASICA L32P28,ABSORVENTE
19,ABS S/ABAS CLIN OFF C/8 LV8PC/PG7PC,ABSORVENTE
20,ABS NOT C/ABAS LADYSOFT SECA 8/PG7,ABSORVENTE
21,ABS INT OB MED LV10PG8UN,ABSORVENTE
22,ABS C/ABAS ALWAYS PROT.TOTAL LV10 PG8,ABSORVENTE
23,ABS C/ABAS ALWAYS NORMAL C/10 S/AB,ABSORVENTE
24,ABS C/ABAS ALWAYS ULTRAFINO C/10,ABSORVENTE
25,ABS NOT C/ABAS NATURAL MAX L16P13,ABSORVENTE
26,ABS S/ABAS ALWAYS ULTRAFINO C/8,ABSORVENTE
27,ABS C/ABAS SEMPRE LIVRE TRI-PROTECT L32PG24,ABSORVENTE
28,ABS S/ABAS NATURALMENTE MAX C/8,ABSORVENTE
29,PROT DIARIO CAREFREE S/A ORIG C/PERF C/15,ABSORVENTE
30,ABS INT O.B. MEDIO + SUPER C/10,ABSORVENTE
31,ABS C/ABAS CONFIANCE SUAVE LV4 PG3,ABSORVENTE
32,ABS C/ABAS ALWAYS PROT.TOTAL SECA C/08,ABSORVENTE
33,ABS S/ABAS SEMPRE LIVRE TRI PROT MAX SUAVE C/8,ABSORVENTE
34,PROT DIARIO CAREFREE TR FRESH BRISA C/15,ABSORVENTE
35,ABS NOT C/ABAS ALWAYS PROT TOTAL PINK C/8,ABSORVENTE
36,PROT DIARIO LADYSOFTY COB.SVE C/56,ABSORVENTE
37,ABS NOT C/ABAS INTIMUS GEL SUAVE LV36PG30,ABSORVENTE
38,ABS INT ALWAYS PLATINUM SUPER 8UN,ABSORVENTE
39,ABS S/ABAS MULHER LIVRE COMFORT C/8,ABSORVENTE
40,PROT ALWAYS DIARIOS C/40 RESPIRAVEL,ABSORVENTE
41,ABS C/ABAS INT PLATINUM REGULAR ALWAYS C/8,ABSORVENTE
42,ABS C/ABAS ALWAYS PROT.TOTAL C/14,ABSORVENTE
43,ABS C/ABAS ALWAYS NORMAL COMPACTO C/8,ABSORVENTE
44,ABS C/ABAS INTIMUS GEL TRIPLA PROT SUAVE LV16PG14,ABSORVENTE
45,ABS C/ABAS INTIMUS GEL DISCRET C/8,ABSORVENTE
46,ABS S/ABAS INTIMUS GEL EVOLUTION MAXI PROTECAO C/20,ABSORVENTE
47,ABS INT OB PRO COMFORT MINI C/10,ABSORVENTE
48,ABS C/ABAS SEMPRE LIVRE ADAPT AG NAT SUAVE C/8,ABSORVENTE
49,PROTET DIARIO INTIMUS ANTIB C/40 LV+PG-,ABSORVENTE
50,ABS C/ABAS SEMPRE LIVRE ESP REG C/8,ABSORVENTE
51,ABS C/ABAS ALWAYS PINK SUAVE LV16PG14,ABSORVENTE
52,ABS C/ABAS SYM CURVA C/8,ABSORVENTE
53,ABS NOT C/ABAS INTIMUS GEL SUAVE LV20PG18,ABSORVENTE
54,ABS C/ABAS INTIMUS GEL TRIPLA PROT SECA LV9PG8,ABSORVENTE
55,PROT DIARIO CAREFREE NEUTRALIZE C/60,ABSORVENTE
56,ABS NOT C/ABAS SEMPRE LIVRE AG.NAT C/8,ABSORVENTE
57,ABS INT TAMPAX COMPAK MT GTS FRASQ,ABSORVENTE
58,ABS C/ABAS LADYSOFT SECA 8/PG7,ABSORVENTE
59,ABS C/ABAS ALWAYS SUPER PROT SUAVE C/32,ABSORVENTE
60,PROT DIARIO CAREFREE TODO DIA FLEXI S/PERF CX C/40,ABSORVENTE
61,ABS C/ABAS CONFIANCE CONFORT SUAVE LV22 PG16,ABSORVENTE
62,ABS C/ABAS SEMPRE LIVRE DRY MAX SECA C/8,ABSORVENTE
63,PROT DIARIO ALWAYS RESPIRAVEL PCT 40LV+POR-,ABSORVENTE
64,ABS C/ABAS SEMPRE LIVRE TEEN SECA C/8,ABSORVENTE
65,ABS NOT C/ABAS ALWAYS PINK LV8PG7,ABSORVENTE
66,SP ABS.LADYSOFT NORMAL S/AB C/8 .,ABSORVENTE
67,ABS S/ABAS SILHOUETTE C/8,ABSORVENTE
68,PROT DIARIO CAREFREE DY S/PERF 10X15,ABSORVENTE
69,PROT DIARIO INTIMUS DAYS S/A RESPIRAVEL LV80PG70,ABSORVENTE
70,PROT DIARIO CAREFREE S/A TODO DIA FLEXI S/PERF C/15,ABSORVENTE
71,PROT DIARIO ALWAYS C/PERF PCT 80LV+PG-,ABSORVENTE
72,ABS C/ABAS DISCRET MISS SECA C/20,ABSORVENTE
73,ABS C/ABAS INTIMUS GEL SECA LV32 PG28,ABSORVENTE
74,PROT DIARIO CLIN OFF PC CONTROL FRESH 15PG12,ABSORVENTE
75,ABS C/ABAS NEW CLASSICO C/8,ABSORVENTE
76,"KIT BANHO ORGANICA SAVON, PESSEGO",ACESSÓRIOS DE BANHO
77,ESPONJA BANHO FRESH DUPLA FACE 110,ACESSÓRIOS DE BANHO
78,ESPONJA BANHO RICCA NYLON 300,ACESSÓRIOS DE BANHO
79,ESPONJA BANHO und PONJITA INFANTIL FROZEN,ACESSÓRIOS DE BANHO
80,BUCHA VEGETAL ALUMIBANHO UN DUPLA FACE,ACESSÓRIOS DE BANHO
81,BUCHA VEG CORPUS PED PEQ 1UN,ACESSÓRIOS DE BANHO
82,ESPONJA BANHO 3M PONJITA ACQUA BANHO C/1,ACESSÓRIOS DE BANHO
83,ESPONJA BANHO BEMARIUS INF PEQ 701,ACESSÓRIOS DE BANHO
84,ESPONJA BANHO CORPUS SOFT ATOALHADA 1UN,ACESSÓRIOS DE BANHO
85,BUCHA VEGETAL SILVEIRA INDUSTRIALIZ,ACESSÓRIOS DE BANHO
86,BUCHA VEGETAL CAMPO BELO PEDACO,ACESSÓRIOS DE BANHO
87,"TOUCA DESCARTAVEL PARA BANHO. ICO,7UNID.) -DAISO",ACESSÓRIOS DE BANHO
88,ESPONJA BANHO 3M PONJITA CURAUA C/1,ACESSÓRIOS DE BANHO
89,ESPONJA BANHO PORUS FLEUR 1UN,ACESSÓRIOS DE BANHO
90,TOUCA BANHO MARILU C/2,ACESSÓRIOS DE BANHO
91,ESPONJA BANHO CONDOR HOT WHEELS,ACESSÓRIOS DE BANHO
92,TOUCA P/BANHO RICCA 3D KIDS,ACESSÓRIOS DE BANHO
93,PONJITA ESPONJA REVITALIZANTE,ACESSÓRIOS DE BANHO
94,ESPONJA BANHO FRESH MAXXI 107,ACESSÓRIOS DE BANHO
95,TOUCA MEDEIROS METALIZ SIMPLES,ACESSÓRIOS DE BANHO
96,ESCOVA BANH ACASA D PT/MARM 0186A,ACESSÓRIOS DE BANHO
97,BUCHA P/BANHO VEGETAL VIMAC C/1UN,ACESSÓRIOS DE BANHO
98,TAPETE BANHEIRO GANDA 67X44CM OVAL,ACESSÓRIOS DE BANHO
99,TAPETE BANHO ACASA R FOAM 50X80 AZ 021A,ACESSÓRIOS DE BANHO
100,TAPETE BANHEIRO GANDA 50X80 DESENHO RELEVO BEGE,ACESSÓRIOS DE BANHO
101,BUCHA VEGETAL NATUS PED,ACESSÓRIOS DE BANHO
102,ESPONJA BANHO MINEIRINHA CRESPA 2UN,ACESSÓRIOS DE BANHO
103,ESPONJA BANHO PONJITA KIDS PERSONAGEM,ACESSÓRIOS DE BANHO
104,BUCHA VEG MINEIRINHA COMUM ESP,ACESSÓRIOS DE BANHO
105,TAPETE BANHO ACASA NAT/BG 60X90 2035-1,ACESSÓRIOS DE BANHO
106,TAPETE BANH GANDA 50X80 DESENHO RELEVO PRETO,ACESSÓRIOS DE BANHO
107,TAPETE BANHEIRO GANDA 50X80 BEGE,ACESSÓRIOS DE BANHO
108,ESPONJA BANHO FRESH NYLON 103,ACESSÓRIOS DE BANHO
109,BUCHA VEGETAL MUNDO FACIL .,ACESSÓRIOS DE BANHO
110,BUCHA VEGETAL BEMARIUS EM PED C/2 UNIDS,ACESSÓRIOS DE BANHO
111,BUCHA BANHO FRESH OVAL 108,ACESSÓRIOS DE BANHO
112,GASPAR KIT COLORS P/VIAGEM REF 3315,ACESSÓRIOS DE BANHO
113,BUCHA VEGETAL NATURAL DO CARMO UN,ACESSÓRIOS DE BANHO
114,ESCOVA BANH ACASA D BC/MARM 0187A,ACESSÓRIOS DE BANHO
115,ESPONJA BANHO BRICS,ACESSÓRIOS DE BANHO
116,TOUCA DESC GI METALIZADA FORRO,ACESSÓRIOS DE BANHO
117,BUCHA VEGETAL AZ DE OURO PEQ .,ACESSÓRIOS DE BANHO
118,TOUCA PARA BANHO DE PLASTICO -DAISO,ACESSÓRIOS DE BANHO
119,ESPONJA BANHO PORUS SENSATION,ACESSÓRIOS DE BANHO
120,ESPONJA BANHO CONDOR LV3 PG2 BASICA,ACESSÓRIOS DE BANHO
121,ESPONJA BANHO MARCOBONI DEGRADE,ACESSÓRIOS DE BANHO
122,CABIDE PRIMAFER PENDURA LEVE6 PAGUE5 PRETO,ACESSÓRIOS DE LAVANDERIA
123,PROTETOR ROUPA ISOPASSE P/MAQ T3 22X30,ACESSÓRIOS DE LAVANDERIA
124,MESA PASSAR TRAMONTINA CLASSIC 81750/144,ACESSÓRIOS DE LAVANDERIA
125,CABIDE ADULTO CROMADO C/3UND,ACESSÓRIOS DE LAVANDERIA
126,porta sabao po,ACESSÓRIOS DE LAVANDERIA
127,CABIDE INFANTIL SEMPRE UTIL,ACESSÓRIOS DE LAVANDERIA
128,VARAL CHAO IMP METAL 18120,ACESSÓRIOS DE LAVANDERIA
129,CORDA P/ VARAL SUPERCORDA N.5,ACESSÓRIOS DE LAVANDERIA
130,"FORRO TABUA PASSAR PORTO-PEL CASA GRANDE 1,00X0,60",ACESSÓRIOS DE LAVANDERIA
131,PRENDEDOR ROUPA M.FACIL PLT C/12 MD,ACESSÓRIOS DE LAVANDERIA
132,CABIDE PRIMAFER PENDURA LEVE6 PAGUE5 ROSA,ACESSÓRIOS DE LAVANDERIA
133,protetor Lavar Roupas Delicadas Com Zíper Washing Bag,ACESSÓRIOS DE LAVANDERIA
134,CABIDE IKAY MAD/MARRON MAT C/3 FH661063B,ACESSÓRIOS DE LAVANDERIA
135,PRENDEDOR ROUPA NORBRAS C/24 GIGANT,ACESSÓRIOS DE LAVANDERIA
136,CORDA P/VARAL POLIFORT ACO SLIM 10M,ACESSÓRIOS DE LAVANDERIA
137,VARAL ACO ESTENDE FACIL 12M REF:624,ACESSÓRIOS DE LAVANDERIA
138,VARAL MUNDO FACIL NYLON N5 10M,ACESSÓRIOS DE LAVANDERIA
139,Saco Organizador a Vácuo Para Viagem 50x70cm Roupa Mala Protetor Com Zíper - Clink,ACESSÓRIOS DE LAVANDERIA
140,Protetor Capa De Maquina Lavar roupa Impermeavel preta - Gdn Capas,ACESSÓRIOS DE LAVANDERIA
141,CABIDE MADEIRA GANDA COM 5,ACESSÓRIOS DE LAVANDERIA
142,PROTETOR ROUPA ISOPASSE P/MAQ T1 48X60,ACESSÓRIOS DE LAVANDERIA
143,12 Saco Lavar Roupas Delicadas Protetor roupa Zíper 40x50cm - Washing Bag,ACESSÓRIOS DE LAVANDERIA
144,Kit C/12 Saco Lavar Roupas Lavadora 50x60 Sacola Intima Protetor Com Ziper - Loja Catarinense,ACESSÓRIOS DE LAVANDERIA
145,CABIDE ACASA EMBOR P/CINTO 3HYL010,ACESSÓRIOS DE LAVANDERIA
146,VARAL ACO VITORIA 10MT,ACESSÓRIOS DE LAVANDERIA
147,Protetor lava sutia / roupas finas  com 2 pecas,ACESSÓRIOS DE LAVANDERIA
148,CORDA P/VARAL POLIFORT N.10 C/10M,ACESSÓRIOS DE LAVANDERIA
149,CABIDE INFANTIL CONJ.3 PC,ACESSÓRIOS DE LAVANDERIA
150,CORDA VARAL JARDIM REFORCADO UN,ACESSÓRIOS DE LAVANDERIA
151,CABIDE ARQPLAST ADULTO CONJ.6 PC,ACESSÓRIOS DE LAVANDERIA
152,PRENDEDOR ROUPA FLASHLIMP BAILARINA 12 PCS,ACESSÓRIOS DE LAVANDERIA
153,CABIDE JARDIM PLASTICO C/3,ACESSÓRIOS DE LAVANDERIA
154,CABIDE DE MADEIRA C/3und HUIXU DELUXE,ACESSÓRIOS DE LAVANDERIA
155,SACO BRICS P/LAVAR ROUPA MED REF 206,ACESSÓRIOS DE LAVANDERIA
156,VARAL CHAO ACASA C/ABA ALUM WR1008A,ACESSÓRIOS DE LAVANDERIA
157,CABIDE ADOLETA INFANTIL BONECA 880016 RS,ACESSÓRIOS DE LAVANDERIA
