index;nome_produto;categoria;pred_encode;categoria_pred
3455;CAFE GUIDALLI ALMOFADA PCT 500G;CAFÉ;54;CAFÉ
5963;OLEO BANANA BEIRA ALTA 90ML;CREME/ÓLEO MÃO E PÉ;35;AZEITE
8928;IOGURTE JAMAVA 110G C/ POLPA MORANGO;IOGURTE;155;IOGURTE
3318;CHALEIRA ELET CADENCE I SUPRE 127 CEL500;CAFETEIRA/CHALEIRA ELETRICA;296;UTENSÍLIOS DE INOX/ALUMÍNIO
14229;SAB BAR EMOZIONI IN TOSCANA CAMPAGNE DORATA250G;SABONETE BARRA;259;SABONETE BARRA
9596;PEPINO TAUA 300G VD VIN.SVE;LEGUMES;166;LEGUMES
15375;SHAMPOO HELLO KITTY 400ML;SHAMPOO INFANTIL;273;SHAMPOO
1606;FILTRO AR WEGA FAP3270;AUTOMOTIVO FILTROS;28;AUTOMOTIVO FILTROS
8594;TORNEIRA TRAMONTINA SENSETOP 6500W 220V;HIDRÁULICA;315;ÁGUA MINERAL
10529;MANTEIGA PIRACANJ S/SAL 500G;MANTEIGA;187;MANTEIGA
9716;TOMATE GRAPE MEL TREBESCHI 180G;LEGUMES;166;LEGUMES
6248;DES SPRAY RASTRO ROSA FR 90ML;DESODORANTE FEMININO;98;DESODORANTE FEMININO
2143;ACUCAR NATURAL GUARANI DEMERARA PCT 500G;AÇÚCAR;38;AÇÚCAR
11691;NECESSAIRE TERMICA NEC-051V;NECESSAIRES;195;MATERIAL ESCOLAR
12331;PANO OBER LIMPFLEX MULTI USO C/3 .;PANOS/FLANELAS;220;PANOS/FLANELAS
6047;Leite de Coco Culinário Mais Coco 200ml;DERIVADOS DO COCO;171;LEITE UHT
18174;VINHO ITALIANO TERRE BARBERA D ALBA 750ML;VINHO;311;VINHO
5636;CR PENTEAR GOTA DOURADA MANTEIGA KARITE 300ML;CREME DE PENTEAR;85;CREME DE PENTEAR
9901;LEITE LONGA VIDA PARMALAT 1LI INTEG .;LEITE UHT;171;LEITE UHT
3475;CAFE 3 CORACOES RIT ORGANICO 250G;CAFÉ;54;CAFÉ
16916;POTE PLAST UZ PREMIUM 4L;UTENSÍLIOS DE PLÁSTICO;300;UTENSÍLIOS DE PLÁSTICO
16158;CELULAR SAMSUNG J7 PRIME PT G610;TELEFONIA;286;TELEFONIA
16648;FACA TOMATEIRA 5 DISOLLE DURAFIO;UTENSÍLIOS DE INOX/ALUMÍNIO;296;UTENSÍLIOS DE INOX/ALUMÍNIO
16039;COSTELA SUINA CONG.PORCIONADO KG;SUÍNO CONGELADO;48;BOVINO RESFRIADO
5630;CR PENTEAR MONANGE PROTEINA LEITE 300G;CREME DE PENTEAR;85;CREME DE PENTEAR
12132;PALMI TATA EXTR 300g;PALMITO;137;FRUTAS
940;AMACIANTE PREZUNIC CLASSICO 2L;AMACIANTE;16;AMACIANTE
2079;AZEITONA VERDE DONA HELENA S/CAROCO 163G;AZEITONA;36;AZEITONA
15115;Quinoa Quinua Branca em Grãos 130g;SAUDÁVEL;272;SAUDÁVEL
10608;BATOM COR 03 - VULT;MAQUIAGEM;189;MAQUIAGEM
4459;CHA KININO 10GR ERVA CIDREIRA;CHÁ;67;CHÁ
15403;ESPUM PETERLONGO 750ML PROSECCO;SIDRA/ESPUMANTE;77;CONDICIONADOR
15864;SUCO NEAT UVA 330ML;SUCO PRONTO/NECTAR;281;SUCO PRONTO/NECTAR
7582;FEIJAO BRANCO YOKI 500G;FEIJÃO;125;FEIJÃO
3390;CAFE EXPRESSO 250G;CAFÉ;54;CAFÉ
16403;TORTA DUCIARA UND CARNE SOL;TORTA;291;TORTA
408;PRENDEDOR DE CABELO DE PLASTICO(POLIPROP -DAISO;ACESSÓRIOS PARA CABELO;6;ACESSÓRIOS PARA CABELO
8673;SH DUGS 500ML BRILHO DO PELO;HIGIENE/LIMPEZA PET SHOP;273;SHAMPOO
8;ABS S/ABAS CONFIANCE SUAVE C/8;ABSORVENTE;0;ABSORVENTE
10519;MANTEIGA TEIXEIRA S/SAL PT 500G;MANTEIGA;187;MANTEIGA
11155;LAPIS COR F.CASTELL 12C+2B KIT GDE;MATERIAL ESCOLAR;195;MATERIAL ESCOLAR
11376;FORNO MICR MIDEA 25L BC GRILL 127 MTAG31;MICROONDAS;199;MICROONDAS
8392;GUARDANAPO PAPEL KIREY AZUL 23X20 C/50;GUARDANAPO DE PAPEL;144;GUARDANAPO DE PAPEL
9497;DETERG PO OMO 1,6KG/PG 1,4KG-CX LAVAGEM PERFTA;LAVA ROUPA PÓ;77;CONDICIONADOR
8599;DUCHA CORONA MEGA BANHO 5500W BC 127V;HIDRÁULICA;275;SIDRA/ESPUMANTE
16703;PANELA NIGRO PAPEIRO 16 POLIDA;UTENSÍLIOS DE INOX/ALUMÍNIO;296;UTENSÍLIOS DE INOX/ALUMÍNIO
5125;COND TRATY CAB.NORMAIS 350ML;CONDICIONADOR;77;CONDICIONADOR
5545;CREAM CHEESE PHILADELPHIA LIGHT 300G;CREAM CHEESE;44;BISCOITO
5817;CR DENT GEL CLOSE UP FRESH PROTECT KIT ED GTS GEL DENTAL 70G;CREME/GEL DENTAL ADULTO;87;CREME/GEL DENTAL ADULTO
14530;SACO ASPIRADOR PO PORTO-PEL ELECTROLUX LISTO C/3;SACOS;265;SACOS
6722;EMPANADO FRANGO LAR FILE A MILANESA 700G;EMPANADO;191;MASSA FRESCA
6569;DOCE MARANGUAPE DE LEITE 320G;DOCE PASTA;103;DOCE PASTA
14556;SACO FACIL 20cmX34cm;SACOS;265;SACOS
18044;VINHO CHILENO AUTORITAS MALBEC RES 750ML;VINHO;311;VINHO
5956;Analéa Pé Nota 10 Creme Hidratante 150g (Kit C/03);CREME/ÓLEO MÃO E PÉ;147;HIDRATAÇÃO PARA O CORPO
