index;nome_produto;categoria;nome_produto_processed;categoria_encoded;pred_encode;categoria_pred
3455;CAFE GUIDALLI ALMOFADA PCT 500G;CAFÉ;cafe guidalli almofada pct 500 g;54;54;CAFÉ
5963;OLEO BANANA BEIRA ALTA 90ML;CREME/ÓLEO MÃO E PÉ;oleo banana beira alta 90 ml;90;292;TRANSFORMAÇÃO CABELOS
8928;IOGURTE JAMAVA 110G C/ POLPA MORANGO;IOGURTE;iogurte jamava 110 g com polpa morango;155;155;IOGURTE
3318;CHALEIRA ELET CADENCE I SUPRE 127 CEL500;CAFETEIRA/CHALEIRA ELETRICA;chaleira elet cadence i supre 127 cel500;53;53;CAFETEIRA/CHALEIRA ELETRICA
14229;SAB BAR EMOZIONI IN TOSCANA CAMPAGNE DORATA250G;SABONETE BARRA;sab bar emozioni in toscana campagne dorata250 g;259;259;SABONETE BARRA
9596;PEPINO TAUA 300G VD VIN.SVE;LEGUMES;pepino taua 300 g vd vinsve;166;229;PEPINO EM CONSERVA
15375;SHAMPOO HELLO KITTY 400ML;SHAMPOO INFANTIL;shampoo hello kitty 400 ml;274;274;SHAMPOO INFANTIL
1606;FILTRO AR WEGA FAP3270;AUTOMOTIVO FILTROS;filtro ar wega fap3270;28;28;AUTOMOTIVO FILTROS
8594;TORNEIRA TRAMONTINA SENSETOP 6500W 220V;HIDRÁULICA;torneira tramontina sensetop 6500w 220v;149;149;HIDRÁULICA
10529;MANTEIGA PIRACANJ S/SAL 500G;MANTEIGA;manteiga piracanj sem sal 500 g;187;187;MANTEIGA
9716;TOMATE GRAPE MEL TREBESCHI 180G;LEGUMES;tomate grape mel trebeschi 180 g;166;166;LEGUMES
6248;DES SPRAY RASTRO ROSA FR 90ML;DESODORANTE FEMININO;des spray rastro rosa fr 90 ml;98;98;DESODORANTE FEMININO
2143;ACUCAR NATURAL GUARANI DEMERARA PCT 500G;AÇÚCAR;acucar natural guarani demerara pct 500 g;38;38;AÇÚCAR
11691;NECESSAIRE TERMICA NEC-051V;NECESSAIRES;necessaire termica nec-051v;212;212;NECESSAIRES
12331;PANO OBER LIMPFLEX MULTI USO C/3 .;PANOS/FLANELAS;pano ober limpflex multi uso com 3 ;220;220;PANOS/FLANELAS
6047;Leite de Coco Culinário Mais Coco 200ml;DERIVADOS DO COCO;leite de coco culinrio mais coco 200 ml;94;94;DERIVADOS DO COCO
18174;VINHO ITALIANO TERRE BARBERA D ALBA 750ML;VINHO;vinho italiano terre barbera alba 750 ml;311;311;VINHO
5636;CR PENTEAR GOTA DOURADA MANTEIGA KARITE 300ML;CREME DE PENTEAR;cr pentear gota dourada manteiga karite 300 ml;85;85;CREME DE PENTEAR
9901;LEITE LONGA VIDA PARMALAT 1LI INTEG .;LEITE UHT;leite longa vida parmalat 1 li integ ;171;171;LEITE UHT
3475;CAFE 3 CORACOES RIT ORGANICO 250G;CAFÉ;cafe 3 coracoes rit organico 250 g;54;54;CAFÉ
16916;POTE PLAST UZ PREMIUM 4L;UTENSÍLIOS DE PLÁSTICO;pote plast uz premium 4 l;300;300;UTENSÍLIOS DE PLÁSTICO
16158;CELULAR SAMSUNG J7 PRIME PT G610;TELEFONIA;celular samsung j7 prime pct g610;286;286;TELEFONIA
16648;FACA TOMATEIRA 5 DISOLLE DURAFIO;UTENSÍLIOS DE INOX/ALUMÍNIO;faca tomateira 5 disolle durafio;296;296;UTENSÍLIOS DE INOX/ALUMÍNIO
16039;COSTELA SUINA CONG.PORCIONADO KG;SUÍNO CONGELADO;costela suina congporcionado kg;283;284;SUÍNO RESFRIADO
